Countries,Colour
Afghanistan,Yellow
Albania,Yellow
Algeria,Yellow
Angola,Yellow
Antigua and Barbuda,Red
Argentina,Red
Armenia,Yellow
Australia,Yellow
Austria,Green
Azerbaijan,Yellow
The Bahamas,Red
Bahrain,Yellow
Bangladesh,Red
Barbados,Red
Belarus,Green
Belgium,Green
Belize,Red
Benin,Red
Bhutan,Yellow
Bolivia,Red
Bosnia and Herzegovina,Green
Botswana,Yellow
Brazil,Red
Brunei,Yellow
Bulgaria,Yellow
Burkina Faso,Red
Burundi,Red
Cabo Verde,Red
Cambodia,Yellow
Cameroon,Red
Canada,Green
Central African Republic,Yellow
Chad,Red
Chile,Red
China,Red
Colombia,Red
Costa Rica,Red
Croatia,Green
Cuba,Red
Cyprus,Green
Czech Republic,Green
Democratic Republic of the Congo,Red
Denmark,Green
Djibouti,Red
Dominican Republic,Red
East Timor,Yellow
Ecuador,Red
Egypt,Yellow
El Salvador,Red
Equatorial Guinea,Red
Eritrea,Yellow
Estonia,Green
Eswatini,Yellow
Ethiopia,Red
Fiji,Red
Finland,Green
France,Green
Gabon,Red
Gambia,Red
Georgia,Green
Germany,Green
Ghana,Yellow
Greece,Green
Greenland,Green
Guatemala,Red
Guinea,Red
Guinea Bissau,Red
Guyana,Red
Haiti,Red
Honduras,Red
Hungary,Green
Iceland,Green
India,Red
Indonesia,Yellow
Iran,Red
Iraq,Red
Ireland,Green
Israel,Yellow
Italy,Yellow
Ivory Coast,Red
Jamaica,Red
Japan,Yellow
Jordan,Yellow
Kazakhstan,Red
Kenya,Red
Kosovo,Green
Kuwait,Red
Kyrgyzstan,Red
Laos,Yellow
Latvia,Green
Lebanon,Yellow
Lesotho,Red
Liberia,Red
Libya,Red
Lithuania,Green
Luxembourg,Green
Macedonia,Green
Madagascar,Yellow
Malawi,Red
Malaysia,Yellow
Mali,Red
Malta,Yellow
Mauritania,Red
Mauritius,Yellow
Mexico,Red
Moldova,Yellow
Mongolia,Yellow
Montenegro,Green
Morocco,Green
Mozambique,Yellow
Myanmar,Yellow
Namibia,Yellow
Nepal,Yellow
Netherlands,Green
New Zealand,Green
Nicaragua,Red
Niger,Red
Nigeria,Yellow
North Korea,Yellow
Norway,Green
Oman,Yellow
Pakistan,Red
Panama,Red
Papua New Guinea,Red
Paraguay,Red
Peru,Red
Philippines,Green
Poland,Yellow
Portugal,Green
Republic of Serbia,Green
Republic of the Congo,Red
Romania,Green
Russia,Yellow
Rwanda,Yellow
Saudi Arabia,Yellow
Senegal,Yellow
Sierra Leone,Red
Singapore,Yellow
Slovakia,Green
Slovenia,Green
Solomon Islands,Red
Somalia,Red
South Africa,Yellow
South Korea,Yellow
South Sudan,Red
Spain,Green
Sri Lanka,Yellow
Sudan,Red
Suriname,Red
Syria,Red
Taiwan,Yellow
Tajikistan,Red
Thailand,Yellow
Togo,Yellow
Trinidad and Tobago,Red
Tunisia,Red
Turkey,Green
Turkmenistan,Yellow
Uganda,Yellow
Ukraine,Green
United Arab Emirates,Yellow
United Kingdom,Yellow
United Republic of Tanzania,Yellow
United States of America,Red
Uruguay,Red
Uzbekistan,Red
Vanuatu,Red
Venezuela,Red
Vietnam,Yellow
Yemen,Red
Zambia,Yellow
Zimbabwe,Yellow
